image_id,product_id,variant_id,color,name,gender,category,price,currency,image_url,product_url,brand,rating,rating_count,sizes
1,uniqlo_E479000-000,COL64,BLUE,Barrel Jeans,WOMEN,bottoms,49.9,USD,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/479000/item/usgoods_64_479000_3x4.jpg,https://www.uniqlo.com/us/en/products/E479000-000/00,UNIQLO,4.8,360,"[""22inch"", ""23inch"", ""24inch"", ""25inch"", ""26inch"", ""27inch"", ""28inch"", ""29inch"", ""30inch"", ""32inch"", ""34inch""]"
2,uniqlo_E479000-000,COL00,WHITE,Barrel Jeans,WOMEN,bottoms,49.9,USD,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/479000/item/usgoods_00_479000_3x4.jpg,https://www.uniqlo.com/us/en/products/E479000-000/00,UNIQLO,4.8,360,"[""22inch"", ""23inch"", ""24inch"", ""25inch"", ""26inch"", ""27inch"", ""28inch"", ""29inch"", ""30inch"", ""32inch"", ""34inch""]"
3,uniqlo_E479000-000,COL08,DARK GRAY,Barrel Jeans,WOMEN,bottoms,49.9,USD,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/479000/item/usgoods_08_479000_3x4.jpg,https://www.uniqlo.com/us/en/products/E479000-000/00,UNIQLO,4.8,360,"[""22inch"", ""23inch"", ""24inch"", ""25inch"", ""26inch"", ""27inch"", ""28inch"", ""29inch"", ""30inch"", ""32inch"", ""34inch""]"
4,uniqlo_E479000-000,COL67,BLUE,Barrel Jeans,WOMEN,bottoms,49.9,USD,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/479000/item/usgoods_67_479000_3x4.jpg,https://www.uniqlo.com/us/en/products/E479000-000/00,UNIQLO,4.8,360,"[""22inch"", ""23inch"", ""24inch"", ""25inch"", ""26inch"", ""27inch"", ""28inch"", ""29inch"", ""30inch"", ""32inch"", ""34inch""]"
5,uniqlo_E479000-000,COL69,NAVY,Barrel Jeans,WOMEN,bottoms,49.9,USD,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/479000/item/usgoods_69_479000_3x4.jpg,https://www.uniqlo.com/us/en/products/E479000-000/00,UNIQLO,4.8,360,"[""22inch"", ""23inch"", ""24inch"", ""25inch"", ""26inch"", ""27inch"", ""28inch"", ""29inch"", ""30inch"", ""32inch"", ""34inch""]"
6,uniqlo_E484807-000,COL08,DARK GRAY,Barrel Jeans | Tall,WOMEN,bottoms,49.9,USD,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/484807/item/usgoods_08_484807_3x4.jpg,https://www.uniqlo.com/us/en/products/E484807-000/00,UNIQLO,5,4,"[""22inch"", ""23inch"", ""24inch"", ""25inch"", ""26inch"", ""27inch"", ""28inch"", ""29inch"", ""32inch""]"
7,uniqlo_E484807-000,COL00,WHITE,Barrel Jeans | Tall,WOMEN,bottoms,49.9,USD,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/484807/item/usgoods_00_484807_3x4.jpg,https://www.uniqlo.com/us/en/products/E484807-000/00,UNIQLO,5,4,"[""22inch"", ""23inch"", ""24inch"", ""25inch"", ""26inch"", ""27inch"", ""28inch"", ""29inch"", ""32inch""]"
8,uniqlo_E484807-000,COL67,BLUE,Barrel Jeans | Tall,WOMEN,bottoms,49.9,USD,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/484807/item/usgoods_67_484807_3x4.jpg,https://www.uniqlo.com/us/en/products/E484807-000/00,UNIQLO,5,4,"[""22inch"", ""23inch"", ""24inch"", ""25inch"", ""26inch"", ""27inch"", ""28inch"", ""29inch"", ""32inch""]"
9,uniqlo_E484807-000,COL69,NAVY,Barrel Jeans | Tall,WOMEN,bottoms,49.9,USD,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/484807/item/usgoods_69_484807_3x4.jpg,https://www.uniqlo.com/us/en/products/E484807-000/00,UNIQLO,5,4,"[""22inch"", ""23inch"", ""24inch"", ""25inch"", ""26inch"", ""27inch"", ""28inch"", ""29inch"", ""32inch""]"
10,uniqlo_E480740-000,COL08,DARK GRAY,Barrel Jeans | Short,WOMEN,bottoms,49.9,USD,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/480740/item/usgoods_08_480740_3x4.jpg,https://www.uniqlo.com/us/en/products/E480740-000/00,UNIQLO,4.5,13,"[""23inch"", ""24inch"", ""25inch"", ""26inch"", ""27inch"", ""28inch"", ""29inch"", ""30inch"", ""32inch"", ""34inch""]"
